Mapped_GCK,Sales_EUR,date
#1,0.0,2018-10-01
#1,0.0,2018-10-02
#1,0.0,2018-10-03
#1,0.0,2018-10-04
#1,0.0,2018-10-05
#1,0.0,2018-10-06
#1,0.0,2018-10-08
#1,0.0,2018-10-09
#1,0.0,2018-10-10
#1,0.0,2018-10-11
#1,0.0,2018-10-12
#1,0.0,2018-10-13
#1,0.0,2018-10-14
#1,0.0,2018-10-15
#1,0.0,2018-10-16
#1,0.0,2018-10-17
#1,0.0,2018-10-18
#1,0.0,2018-10-19
#11,0.0,2021-08-04
#11,0.0,2021-08-24
#6,0.0,2021-08-04
#1,0.0,2018-10-20
#1,0.0,2018-10-22
#1,0.0,2018-10-23
#8,0.0,2021-08-06
#12,0.0,2022-02-07
#1,1702929.21,2018-10-24
#1,0.0,2018-10-25
#1,0.0,2018-10-26
#1,0.0,2018-10-27
#1,0.0,2018-10-28
#16,111107.38,2021-08-20
#16,3685.0,2021-08-17
#11,0.0,2021-08-18
#6,0.0,2021-08-25
#6,0.0,2021-08-05
#4,0.0,2021-08-26
#5,0.0,2021-08-17
#5,0.0,2021-08-02
#5,0.0,2021-08-04
#3,0.0,2021-08-11
#3,0.0,2021-08-25
#3,0.0,2021-08-15
#1,974208.55,2018-10-29
#1,0.0,2018-10-30
#1,116469.26999999999,2018-10-31
#9,0.0,2021-08-26
#8,0.0,2021-08-17
#1,0.0,2018-11-01
#1,0.0,2018-11-02
#4,0.0,2021-08-06
#14,0.0,2021-09-02
#16,0.0,2021-09-02
#3,0.0,2021-08-06
#1,0.0,2018-11-03
#3,0.0,2022-04-12
#3,0.0,2022-04-14
#3,0.0,2022-04-01
#3,0.0,2022-04-06
#5,473123.84,2022-04-15
#5,713387.61,2022-04-22
#8,88600.71,2022-04-15
#1,0.0,2018-11-05
#1,0.0,2018-11-06
#13,0.0,2022-04-02
#1,0.0,2018-11-07
#9,1653.0,2022-04-29
#6,5990.0,2022-04-08
#14,0.0,2022-04-12
#9,0.0,2022-04-01
#20,0.0,2022-04-06
#13,11638.2,2022-04-15
#8,0.0,2022-04-26
#8,0.0,2022-04-14
#5,0.0,2022-04-11
#36,0.0,2022-04-06
#12,0.0,2022-04-12
#6,0.0,2022-04-11
#11,0.0,2022-02-02
#16,4048.5,2022-01-21
#6,0.0,2022-01-20
#6,72134.84,2022-01-31
#5,0.0,2022-01-20
#5,0.0,2022-01-17
#5,0.0,2022-01-19
#5,0.0,2022-01-13
#8,0.0,2022-01-28
#3,0.0,2022-01-28
#3,0.0,2022-02-02
#1,0.0,2018-11-08
#6,-54.0,2022-02-02
#16,6461.12,2022-04-11
#16,0.0,2022-04-05
#16,0.0,2022-04-04
#11,0.0,2022-04-14
#11,0.0,2022-04-07
#11,-587.59,2022-04-04
#6,0.0,2022-04-01
#6,0.0,2022-04-14
#4,0.0,2022-04-11
#5,123419.35,2022-04-30
#3,0.0,2022-04-05
#3,-183.5,2021-12-02
#3,0.0,2021-12-06
#5,0.0,2021-12-08
#5,0.0,2021-12-16
#36,42353.34,2021-12-17
#5,0.0,2021-12-27
#1,1195598.86,2018-11-09
#13,0.0,2021-12-16
#1,0.0,2018-11-10
#1,0.0,2018-11-12
#12,230316.12,2021-12-17
#9,2390.0,2021-12-30
#13,7619.4,2022-01-03
#5,0.0,2021-12-14
#8,0.0,2021-12-13
#12,0.0,2021-12-14
#5,0.0,2021-12-03
#12,4070.0,2021-12-10
#16,21333.28,2022-03-18
#16,0.0,2022-03-09
#1,0.0,2018-11-13
#1,0.0,2018-11-14
#1,0.0,2018-11-15
#1,751226.03,2018-11-16
#1,0.0,2018-11-17
#1,0.0,2018-11-19
#12,0.0,2022-03-04
#16,0.0,2022-03-23
#6,-93.88,2022-03-02
#6,20469.21,2022-03-29
#6,0.0,2022-03-09
#6,0.0,2022-03-04
#6,0.0,2022-03-14
#4,120921.75,2022-03-31
#4,0.0,2022-03-15
#4,0.0,2022-03-07
#4,0.0,2022-03-16
#5,0.0,2022-03-07
#5,0.0,2022-03-09
#5,0.0,2022-03-22
#3,0.0,2022-03-07
#3,0.0,2022-03-14
#3,0.0,2022-03-22
#9,4452.6,2022-03-11
#20,113.16,2022-03-11
#14,0.0,2022-03-10
#16,14046.1,2022-03-24
#36,700.8,2022-03-11
#5,2902155.41,2022-03-24
#16,0.0,2021-05-07
#11,640579.4,2021-05-27
#11,0.0,2021-05-18
#11,0.0,2021-05-10
#5,-166.24,2021-05-03
#3,129611.85,2021-05-31
#6,0.0,2021-06-01
#5,-26833.17,2021-05-04
#5,0.0,2021-05-11
#3,0.0,2021-05-17
#3,0.0,2021-05-26
#1,0.0,2018-11-20
#1,0.0,2018-11-21
#1,0.0,2018-11-22
#1,1260186.25,2018-11-23
#1,0.0,2018-11-24
#13,0.0,2021-05-04
#12,134111.5,2021-05-27
#12,0.0,2021-05-25
#13,0.0,2021-05-06
#8,264645.41,2021-05-27
#8,0.0,2021-05-06
#8,0.0,2021-05-19
#3,0.0,2021-05-06
#9,0.0,2021-05-05
#11,502892.0,2022-02-28
#16,0.0,2022-02-21
#6,0.0,2022-02-16
#6,0.0,2022-02-22
#6,0.0,2022-02-03
#4,0.0,2022-02-22
#5,0.0,2022-02-07
#3,0.0,2022-02-14
#3,0.0,2022-02-03
#13,1009.5,2022-02-18
#14,0.0,2022-02-02
#20,348.0,2022-02-18
#20,0.0,2022-02-02
#9,930.0,2022-02-11
#14,3000.0,2022-02-28
#13,0.0,2022-02-01
#8,0.0,2022-02-16
#8,0.0,2022-02-03
#12,-2800.0,2022-02-17
#12,0.0,2022-02-19
#36,0.0,2021-12-07
#11,0.0,2021-12-17
#11,-20674.27,2022-01-03
#6,0.0,2021-12-20
#4,61028.84,2021-12-17
#4,0.0,2021-12-13
#16,9079.26,2021-07-14
#16,0.0,2021-07-22
#16,0.0,2021-07-20
#16,0.0,2021-04-15
#11,931559.09,2021-04-30
#11,0.0,2021-04-01
#11,49965.0,2021-04-16
#6,0.0,2021-04-19
#6,0.0,2021-04-14
#4,0.0,2021-04-07
#4,0.0,2021-04-09
#5,0.0,2021-04-29
#4,0.0,2021-04-14
#5,0.0,2021-04-20
#5,1.0,2021-04-07
#3,0.0,2021-04-26
#3,0.0,2021-04-08
#1,0.0,2018-11-26
#1,0.0,2018-11-27
#1,640685.97,2018-11-28
#1,0.0,2018-11-29
#12,0.0,2021-04-15
#12,0.0,2021-04-26
#12,0.0,2021-04-08
#12,0.0,2022-02-23
#12,122307.3,2022-02-11
#1,1293062.89,2018-11-30
#1,0.0,2018-12-01
#1,35698229.74,2018-12-03
#1,-226731.5,2018-12-04
#1,0.0,2018-12-05
#1,0.0,2018-12-06
#1,0.0,2018-12-07
#1,0.0,2018-12-08
#16,0.0,2021-09-20
#16,0.0,2021-09-14
#11,29790.0,2021-09-13
#11,0.0,2021-10-04
#11,0.0,2021-09-17
#11,0.0,2021-09-27
#16,9245.0,2021-09-23
#3,3513759.92,2021-09-28
#6,478605.93,2021-09-23
#6,36167.54,2021-09-17
#4,38759.14,2021-09-23
#3,2644447.36,2021-09-23
#3,0.0,2021-09-27
#3,0.0,2021-09-07
#3,-2984.29,2021-10-04
#3,0.0,2021-09-18
#1,0.0,2018-12-10
#1,0.0,2018-12-11
#1,0.0,2018-12-12
#14,3915.0,2021-09-30
#12,0.0,2021-09-08
#12,159909.22,2021-09-30
#12,13838.0,2021-10-01
#9,12.0,2021-09-17
#14,0.0,2021-09-16
#8,0.0,2021-04-22
#9,0.0,2021-04-19
#9,0.0,2021-04-07
#8,0.0,2021-04-21
#8,0.0,2021-04-08
#20,1584.0,2021-04-28
#16,0.0,2020-03-03
#5,1270292.96,2020-03-24
#36,7825.42,2020-03-27
#6,0.0,2020-03-09
#4,0.0,2020-03-06
#4,0.0,2020-03-09
#5,0.0,2020-03-10
#5,1106.5,2020-04-01
#5,0.0,2020-03-23
#5,0.0,2020-03-06
#5,-113729.56,2020-03-03
#3,-476.1,2020-03-02
#3,0.0,2020-03-26
#3,0.0,2020-03-23
#3,0.0,2020-03-30
#3,0.0,2020-03-21
#16,1030.0,2020-02-21
